dataset_id,dataset_name,best_algorithm,score_LogisticRegression,score_RandomForest,score_KNN
832,fri_c3_250_25,RandomForest,0.6737828596524249,0.8476640107074889,0.6073498964803312
833,bank32nh,LogisticRegression,0.7624983549135097,0.7479221304926733,0.7162924189162775
834,fri_c4_250_100,RandomForest,0.586038961038961,0.7331168831168832,0.5211038961038962
837,fri_c1_1000_50,RandomForest,0.6524695793503132,0.8553425473608961,0.5952602952602952
838,fri_c4_500_25,RandomForest,0.6399734802121582,0.8537623127586407,0.6667547568710359
839,kdd_el_nino-small,RandomForest,0.89255710414247,0.9419715447154472,0.9230061943476577
840,autoHorse,RandomForest,0.9034632034632034,0.9818181818181818,0.8635497835497834
841,stock,RandomForest,0.8391690782239646,0.966433957657903,0.9556998252229565
844,breastTumor,RandomForest,0.5,0.5573306595365419,0.5272058823529411
845,fri_c0_1000_10,RandomForest,0.8350108960475879,0.8490868234482513,0.8030017047322978
847,wind,RandomForest,0.851801532659367,0.8621159142044625,0.8332986096410313
849,fri_c0_1000_25,RandomForest,0.8130191019101911,0.8532011201120111,0.7007930793079309
850,fri_c0_100_50,LogisticRegression,0.7016161616161616,0.6701010101010101,0.6176767676767676
851,tecator,LogisticRegression,0.9445238095238094,0.9111640211640213,0.9072222222222223
852,analcatdata_gsssexsurvey,LogisticRegression,0.5220238095238096,0.4904761904761905,0.472075569358178
853,boston,RandomForest,0.8569719876375519,0.8704465639087383,0.7608978523199277
854,fishcatch,LogisticRegression,0.9888888888888889,0.9777777777777779,0.9777777777777779
855,fri_c4_500_10,RandomForest,0.6447582972582973,0.8910569985569985,0.7721753246753246
860,vinnie,RandomForest,0.8444213444213444,0.8506583506583507,0.8367290367290365
863,fri_c4_250_10,RandomForest,0.6211646847516412,0.8587653288740246,0.6689334819769602
865,analcatdata_neavote,LogisticRegression,0.5,0.5,0.4833333333333334
866,fri_c2_1000_50,RandomForest,0.6751666004678053,0.8462943094850033,0.6419600848765785
868,fri_c4_100_25,RandomForest,0.6603030303030303,0.7452525252525253,0.6190909090909089
869,fri_c2_500_10,RandomForest,0.6969885620225383,0.9010571738086194,0.7336172226878344
870,fri_c1_500_5,RandomForest,0.6537667002174009,0.8817563518521749,0.826160813388747
871,pollen,KNN,0.4963649891774892,0.49375473484848487,0.49819331709956716
873,fri_c3_250_50,RandomForest,0.5862778026571129,0.7752612330198537,0.5208016121809225
876,fri_c1_100_50,RandomForest,0.5030303030303029,0.6036616161616163,0.518560606060606
877,fri_c2_250_50,RandomForest,0.6602128949955036,0.7974862496601627,0.587111801242236
878,fri_c4_100_10,RandomForest,0.6933333333333334,0.7928282828282828,0.642020202020202
879,fri_c2_500_25,RandomForest,0.5859436738125263,0.8398696931483816,0.6029024800336276
880,mu284,RandomForest,0.9751231527093596,0.9928571428571429,0.7014778325123153
884,fri_c0_500_5,RandomForest,0.8356702681072429,0.8618319327731093,0.8437470988395358
885,transplant,KNN,0.9777777777777779,0.9788888888888889,1.0
886,no2,RandomForest,0.5763305322128851,0.6583305322128852,0.5919647859143657
888,fri_c0_500_50,RandomForest,0.8139648166959091,0.8267810970542062,0.6871675593314248
889,fri_c0_100_25,RandomForest,0.72,0.7300000000000001,0.7
890,cloud,KNN,0.5113690476190477,0.6445833333333334,0.799047619047619
895,chscase_geyser1,LogisticRegression,0.8866013071895426,0.8466733702027819,0.8751633986928103
896,fri_c3_500_25,RandomForest,0.6362012987012987,0.8702922077922078,0.6788961038961039
897,colleges_aaup,LogisticRegression,0.9778115345458387,0.9766261389853017,0.876170104771489
900,chscase_census6,KNN,0.5072211476466795,0.47775628626692457,0.5304319793681496
902,sleuth_case2002,LogisticRegression,0.6193223443223443,0.6108104395604396,0.5966575091575091
903,fri_c2_1000_25,RandomForest,0.6707711129781622,0.880996445447544,0.7120979372829389
904,fri_c0_1000_50,RandomForest,0.81796718687475,0.8474189675870349,0.648799519807923
906,chscase_census5,RandomForest,0.4666271682959745,0.471358743951812,0.4522490560359623
907,chscase_census4,LogisticRegression,0.49506905161590653,0.452208147009174,0.4924541654323426
908,chscase_census3,RandomForest,0.4854472014934146,0.4890796409410017,0.48798026962340185
909,chscase_census2,KNN,0.5023155096935585,0.5249468417761101,0.5301360225140714
910,fri_c1_1000_10,RandomForest,0.6730167261789172,0.9054694548915634,0.7710865080906277
911,fri_c2_250_5,RandomForest,0.6681818181818182,0.8925324675324676,0.8314935064935064
912,fri_c2_1000_5,RandomForest,0.7195295137858495,0.9205771044262943,0.9084516923320413
913,fri_c2_1000_10,RandomForest,0.6974548440065682,0.8967980295566502,0.7861247947454844
915,plasma_retinol,RandomForest,0.5533533533533534,0.5675155925155926,0.5188168938168938
916,fri_c3_100_5,RandomForest,0.6695707070707071,0.8309343434343432,0.8066919191919192
